"id","name","code","executive","employee","worker"
occupation_type_employee_121001,"DIRECTOR DE EMPRESAS, DE AGRICULTURA, CAZA, SILVICULTURA Y",121001,True,True,False,
occupation_type_employee_121002,"DIRECTOR EJECUTIVO, EMPRESA, AGRICULTURA, CAZA, SILVICULTUR",121002,True,True,False,
occupation_type_employee_121003,"DIRECTOR GENERAL, EMPRESA/AGRICULTURA",121003,True,True,False,
occupation_type_employee_121004,"DIRECTOR GENERAL, EMPRESA/CAZA",121004,True,True,False,
occupation_type_employee_121005,"DIRECTOR GENERAL, EMPRESA/EXPLOTACION: AGRICOLA, FORESTAL Y",121005,True,True,False,
occupation_type_employee_121006,"DIRECTOR GENERAL, EMPRESA/PESCA",121006,True,True,False,
occupation_type_employee_121007,"DIRECTOR GENERAL, EMPRESA/SILVICULTURA",121007,True,True,False,
occupation_type_employee_121008,"DIRECTOR GENERAL, ORGANIZACION/ CAZA",121008,True,True,False,
occupation_type_employee_121009,"DIRECTOR GENERAL, ORGANIZACION/PESCA",121009,True,True,False,
occupation_type_employee_121010,"DIRECTOR GENERAL, ORGANIZACION/SILVICULTURA",121010,True,True,False,
occupation_type_employee_121011,"GERENTE GENERAL, EMPRESA/AGRICULTURA",121011,True,True,False,
occupation_type_employee_121012,"GERENTE GENERAL, EMPRESA/CAZA",121012,True,True,False,
occupation_type_employee_121013,"GERENTE GENERAL, EMPRESA/PESCA",121013,True,True,False,
occupation_type_employee_121014,"GERENTE GENERAL, EMPRESA/SILVICULTURA",121014,True,True,False,
occupation_type_employee_121015,"GERENTE GENERAL, ORGANIZACION/CAZA",121015,True,True,False,
occupation_type_employee_121016,"GERENTE GENERAL, ORGANIZACION/PESCA",121016,True,True,False,
occupation_type_employee_121017,"GERENTE GENERAL, ORGANIZACION/SILVICULTURA",121017,True,True,False,
occupation_type_employee_121020,"PRESIDENTE DEL DIRECTORIO, AGRICULTURA, CAZA, SILVICULTURA",121020,True,True,False,
occupation_type_employee_122001,"DIRECTOR DE EMPRESAS, DE INDUSTRIAS MANUFACTURERAS, MINAS Y",122001,True,True,False,
occupation_type_employee_122002,"DIRECTOR EJECUTIVO, EMPRESA, INDUSTRIA MANUFACTURERA, MINAS",122002,True,True,False,
occupation_type_employee_122003,"DIRECTOR GENERAL, EMPRESA/INDUSTRIA MANUFACTURERA",122003,True,True,False,
occupation_type_employee_122004,"DIRECTOR GENERAL, EMPRESA/SUMINISTRO DE ELECTRICIDAD, GAS Y",122004,True,True,False,
occupation_type_employee_122005,"GERENTE GENERAL, EMPRESA/INDUSTRIA MANUFACTURERA",122005,True,True,False,
occupation_type_employee_122006,"GERENTE GENERAL, EMPRESA/SUMINISTRO DE ELECTRICIDAD, GAS Y",122006,True,True,False,
occupation_type_employee_122008,"PRESIDENTE DEL DIRECTORIO, INDUSTRIAS MANUFACTURERAS, MINAS",122008,True,True,False,
occupation_type_employee_123001,"DIRECTOR DE EMPRESAS, DE CONSTRUCCION Y OBRAS PUBLICAS",123001,True,True,False,
occupation_type_employee_123002,"DIRECTOR EJECUTIVO, EMPRESA, DE CONSTRUCCION Y OBRAS PUBLIC",123002,True,True,False,
occupation_type_employee_123003,"DIRECTOR GENERAL, EMPRESA/CONSTRUCCION Y OBRAS PUBLICAS",123003,True,True,False,
occupation_type_employee_123004,"GERENTE GENERAL, EMPRESA/CONSTRUCCION Y OBRAS PUBLICAS",123004,True,True,False,
occupation_type_employee_123006,"PRESIDENTE DEL DIRECTORIO, CONTRUCCION Y OBRAS PUBLICAS",123006,True,True,False,
occupation_type_employee_124001,"DIRECTOR DE EMPRESAS, DE COMERCIO MAYORISTA Y MINORISTA, RE",124001,True,True,False,
occupation_type_employee_124002,"DIRECTOR EJECUTIVO, EMPRESA, DE COMERCIO MAYORISTA Y MINORI",124002,True,True,False,
occupation_type_employee_124003,"DIRECTOR GENERAL, EMPRESA/COMERCIO MAYORISTA",124003,True,True,False,
occupation_type_employee_124004,"DIRECTOR GENERAL, EMPRESA/COMERCIO MINORISTA",124004,True,True,False,
occupation_type_employee_124005,"DIRECTOR GENERAL, ORGANIZACION/COMERCIO MAYORISTA",124005,True,True,False,
occupation_type_employee_124006,"DIRECTOR GENERAL, ORGANIZACION/COMERCIO MINORISTA",124006,True,True,False,
occupation_type_employee_124007,"DIRECTOR GENERAL, REPARACION/VEHICULOS, AUTOMOTORES, ETC.",124007,True,True,False,
occupation_type_employee_124008,"GERENTE GENERAL, EMPRESA/COMERCIO MAYORISTA",124008,True,True,False,
occupation_type_employee_124009,"GERENTE GENERAL, EMPRESA/COMERCIO MINORISTA",124009,True,True,False,
occupation_type_employee_124010,"GERENTE ORGANIZACION, EMPRESA/COMERCIO MAYORISTA",124010,True,True,False,
occupation_type_employee_124011,"GERENTE ORGANIZACION, EMPRESA/COMERCIO MINORISTA",124011,True,True,False,
occupation_type_employee_124013,"PRESIDENTE DEL DIRECTORIO, COMERCIO MAYORISTA Y MINORISTA,",124013,True,True,False,
occupation_type_employee_125001,"DIRECTOR DE EMPRESAS, DE RESTAURANTES Y HOTELERIA",125001,True,True,False,
occupation_type_employee_125002,"DIRECTOR EJECUTIVO, EMPRESA, DE RESTAURANTES Y HOTELERIA",125002,True,True,False,
occupation_type_employee_125003,"DIRECTOR GENERAL, EMPRESA/HOTELERIA",125003,True,True,False,
occupation_type_employee_125004,"DIRECTOR GENERAL, EMPRESA/RESTAURANTE",125004,True,True,False,
occupation_type_employee_125005,"DIRECTOR GENERAL, ORGANIZACION/HOTELERIA",125005,True,True,False,
occupation_type_employee_125006,"DIRECTOR GENERAL, ORGANIZACION/RESTAURANTE",125006,True,True,False,
occupation_type_employee_125007,"GERENTE GENERAL, EMPRESA/HOTELERIA",125007,True,True,False,
occupation_type_employee_125008,"GERENTE GENERAL, EMPRESA/RESTAURANTE",125008,True,True,False,
occupation_type_employee_125009,"GERENTE GENERAL, ORGANIZACION/HOTELERIA",125009,True,True,False,
occupation_type_employee_125010,"GERENTE GENERAL, ORGANIZACION/RESTAURANTES",125010,True,True,False,
occupation_type_employee_125012,"PRESIDENTE DEL DIRECTORIO, RESTAURANTES Y HOTELERIA",125012,True,True,False,
occupation_type_employee_126001,"DIRECTOR DE EMPRESAS, DE TRANSPORTE, ALMACENAMIENTO Y COMUN",126001,True,True,False,
occupation_type_employee_126002,"DIRECTOR EJECUTIVO, EMPRESA, DE TRANSPORTE, ALMACENAMIENTO",126002,True,True,False,
occupation_type_employee_126003,"DIRECTOR GENERAL, EMPRESA/ALMACENAMIENTO",126003,True,True,False,
occupation_type_employee_126004,"DIRECTOR GENERAL, EMPRESA/COMUNICACIONES",126004,True,True,False,
occupation_type_employee_126005,"DIRECTOR GENERAL, EMPRESA/TRANSPORTE",126005,True,True,False,
occupation_type_employee_126006,"DIRECTOR GENERAL, ORGANIZACION/TRANSPORTE",126006,True,True,False,
occupation_type_employee_126007,"GERENTE GENERAL, EMPRESA/ALMACENAMIENTO",126007,True,True,False,
occupation_type_employee_126008,"GERENTE GENERAL, EMPRESA/COMUNICACIONES",126008,True,True,False,
occupation_type_employee_126009,"GERENTE GENERAL, EMPRESA/TRANSPORTE",126009,True,True,False,
occupation_type_employee_126010,"GERENTE GENERAL, ORGANIZACION/TRANSPORTE",126010,True,True,False,
occupation_type_employee_126012,"PRESIDENTE DEL DIRECTORIO, TRANSPORTE, ALMACENAMIENTO Y COM",126012,True,True,False,
occupation_type_employee_127001,"DIRECTOR DE EMPRESAS, DE SERVICIOS PUBLICOS Y FINANCIEROS",127001,True,True,False,
occupation_type_employee_127002,"DIRECTOR EJECUTIVO, EMPRESA, DE SERVICIOS PUBLICOS Y FINANC",127002,True,True,False,
occupation_type_employee_127003,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES CULTURALES",127003,True,True,False,
occupation_type_employee_127004,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES DEPORTIVAS",127004,True,True,False,
occupation_type_employee_127005,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES RECREATIVAS",127005,True,True,False,
occupation_type_employee_127006,"DIRECTOR GENERAL, EMPRESA/AGENCIA DE VIAJES",127006,True,True,False,
occupation_type_employee_127007,"DIRECTOR GENERAL, EMPRESA/INTERMEDIACION FINANCIERA",127007,True,True,False,
occupation_type_employee_127008,"DIRECTOR GENERAL, EMPRESA/LIMPIEZA",127008,True,True,False,
occupation_type_employee_127009,"DIRECTOR GENERAL, EMPRESA/SERVICIO DE EMPRESA",127009,True,True,False,
occupation_type_employee_127010,"DIRECTOR GENERAL, EMPRESA/SERVICIO DE SANIDAD",127010,True,True,False,
occupation_type_employee_127011,"DIRECTOR GENERAL, EMPRESA/TRABAJO SOCIAL",127011,True,True,False,
occupation_type_employee_127012,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES CULTURALES",127012,True,True,False,
occupation_type_employee_127013,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES DEPORTIVAS",127013,True,True,False,
occupation_type_employee_127014,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES RECREATIVAS",127014,True,True,False,
occupation_type_employee_127015,"DIRECTOR GENERAL, ORGANIZACION/AGENCIA DE VIAJES",127015,True,True,False,
occupation_type_employee_127016,"DIRECTOR GENERAL, ORGANIZACION/INTERMEDIACION FINANCIERA",127016,True,True,False,
occupation_type_employee_127017,"DIRECTOR GENERAL, ORGANIZACION/LIMPIEZA",127017,True,True,False,
